IlluminaID	Basal	Her2	LumA	LumB	Normal
ACTR3B	0.72	-0.48	0.01	-0.19	0.47
ANLN	0.54	0.27	-0.58	0.1	-0.84
BCL2	-0.12	-0.16	0.29	-0.44	0.53
BIRC5	0.3	0.41	-0.88	0.6	-0.88
BLVRA	-0.64	0.34	0.04	0.69	-0.16
CCNB1	0.19	0.14	-0.49	0.5	-0.55
CCNE1	0.56	0.07	-0.43	-0.02	-0.26
CDC20	0.4	0.01	-0.47	-0.07	-0.05
CDC6	0.16	0.59	-0.61	0.51	-0.6
NUF2	0.47	-0.02	-0.71	0.59	-0.37
CDH3	0.51	0.21	-0.51	-1.42	0.76
CENPF	0.48	-0.03	-0.54	0.28	-0.07
CEP55	0.57	0.28	-0.75	0.46	-1.16
CXXC5	-0.92	-0.24	0.47	0.32	0.05
EGFR	-0.03	-0.1	0.01	-0.41	0.34
ERBB2	-0.81	1.76	0.61	0.16	-0.87
ESR1	-2.75	-1.51	2.16	1.61	-0.42
EXO1	0.43	0.05	-0.57	0.14	-0.45
FGFR4	-0.27	0.82	0.17	-0.25	0.86
FOXA1	-2.63	0.02	1.02	0.36	-0.78
FOXC1	1.49	-0.95	-0.17	-1.56	1.11
GPR160	-1.05	0.58	0.69	0.71	-0.42
GRB7	-0.28	1.03	0.04	0.09	0.24
KIF2C	0.2	-0.17	-0.51	-0.18	-0.39
DQ893928	0.6	0.04	-0.59	0.39	-1.07
KRT14	0.1	-0.44	0.37	-0.64	1.74
KRT17	0.48	-0.34	0.01	-1.46	1.76
KRT5	0.51	-0.43	0.22	-0.91	1.79
MAPT	-0.43	-0.36	0.7	-0.19	0.12
MDM2	-0.25	-0.11	0.14	-0.13	0.27
MELK	0.52	0.2	-0.58	0.45	-0.74
MIA	1.58	-0.9	-0.17	-1.42	2.04
MKI67	0.48	0.07	-0.5	-0.15	-0.17
MLPH	-0.34	-0.2	0.34	-0.46	0.75
MMP11	-0.56	0.51	-0.01	0.33	-2.33
MYBL2	0.39	0.21	-0.84	0.47	-0.6
DQ894085	0.18	-1.05	-0.09	0.02	1.03
NAT1	-0.94	-0.09	2.92	0.47	-0.36
ORC6L	0.22	0.2	-0.35	0.11	-0.26
PGR	-0.43	-0.28	0.45	-0.45	0.13
PGDH3	0.63	-0.19	-0.4	-1.03	0.66
PTTG1	0.26	0.06	-0.63	0.25	-0.55
RRM2	0.16	0.68	-0.95	0.35	-1.12
SFRP1	0.99	-1.05	0.13	-1.72	2.44
SLC39A6	-1.05	-0.7	2.06	1.65	0.12
TYMS	0.45	0.05	-0.64	0.49	-0.73
UBE2C	0.22	0.06	-0.52	0.29	-0.41
DQ895975	0.39	0.28	-0.54	0.74	-0.95
BAG1	-0.57	-0.48	0.76	-0.41	0.32
TMEM45B	-1.11	1.33	0.45	0.38	0.04
